Part Name,Quantity,Unit Price(USD),Ext. Price (USD),Link 
nRF52840 Development Board(Compatible with nice!nano),1,8,8,https://robu.in/product/promicro-nrf52840-development-board/
Gradient Keycaps ,1,13.66,13.66,https://stackskb.com/store/veekos-gradient-keycaps-cherry-profile-135-keys/
Gateron Hotswap Sockets,66,0.11,7,https://stackskb.com/store/gateron-hotswap-sockets/
Gateron G Pro 3.0 Switch (Pack of 10),7,2.1,14.71,https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/gateron-g-pro-3-0-switch/
OS102011MA1QN1,1,0.38,0.38,https://robu.in/product/os102011ma1qn1-ck-100ma-single-pole-double-throw-spdt-12v-10000-times-plugin-slide-switches-rohs/
S2B-PH-SM4-TB,1,0.42,0.42,https://robu.in/product/s2b-ph-sm4-tblfsn-jst-1x2p-2p-ph-tin-2-25%e2%84%8385%e2%84%83-2a-1-2mm-copper-alloy-horizontal-attachment-smdp2mmsurface-mount%ef%bc%8cright-angle-wire-to-board-connector-rohs/
1N4148W-T4,66,0.015,0.99,https://sharvielectronics.com/product/1n4148w-t4-high-speed-fast-switching-diode-sod-123-package/
Stabilizers set,1,7.36,7.36,https://neomacro.in/products/cherry-stabilizer-set-geon-and-c3?_pos=3&_sid=9a6134911&_ss=r
M3x3mm Heatset Inserts,20,0.025,0.5,https://onlyscrews.in/products/m3-x-3mm-brass-threaded-inserts
M3x16 mm Screws,20,0.023,0.046,https://onlyscrews.in/products/hex-allen-csk-m3-x-16-screw-pack-of-20
YY503040-JST-PH,1,2.31,2.31,https://sharvielectronics.com/product/3-7v-1100mah-lipo-rechargeable-battery-with-jst-ph-2mm-connector/
PCB from robu,5,8.05,48.35,https://robu.in/
Total,,,103.726,
